Epoch,Time(s),D_Loss,G_Loss,FID_Score
1,54.86,1.146193,0.625094,0.0000
2,50.10,0.960949,0.667081,370.3369
3,40.70,0.786557,0.648492,0.0000
4,57.38,0.649404,0.716543,319.0408
5,43.28,0.609288,0.749667,0.0000
6,42.31,0.367074,0.626096,395.3452
7,30.22,0.362740,0.629262,0.0000
8,41.84,0.345884,0.666167,303.0732
9,29.52,0.332199,0.692052,0.0000
10,42.95,0.324145,0.706850,263.5411
11,32.94,0.322066,0.711228,0.0000
12,49.77,0.314607,0.720868,294.5211
13,31.28,0.303359,0.753724,0.0000
14,47.99,0.300660,0.756405,257.6621
15,31.65,0.293226,0.765654,0.0000
16,43.31,0.289579,0.774015,276.9357
17,33.34,0.279777,0.790538,0.0000
18,45.98,0.276207,0.810663,318.1525
19,30.31,0.278769,0.804215,0.0000
20,47.29,0.269928,0.822509,329.9480
21,31.15,0.259963,0.867115,0.0000
22,37.96,0.261653,0.857263,304.5717
23,29.29,0.259581,0.875106,0.0000
24,37.48,0.250850,0.902407,363.1792
25,29.35,0.251197,0.898744,0.0000
26,38.90,0.248495,0.907908,361.0573
27,31.07,0.239584,0.939732,0.0000
28,37.96,0.248827,0.926212,316.9648
29,27.82,0.254316,0.903929,0.0000
30,38.60,0.235685,0.965974,357.8622
31,28.63,0.238483,0.957061,0.0000
32,38.58,0.241680,0.942412,311.7498
33,28.50,0.237635,0.953804,0.0000
34,41.46,0.238611,0.962521,316.1102
35,28.87,0.240282,0.951128,0.0000
36,37.88,0.233808,0.974590,306.5811
37,28.97,0.234099,0.982987,0.0000
38,42.16,0.233992,0.973770,425.2208
39,29.28,0.226807,1.003369,0.0000
40,36.60,0.236126,0.969859,237.2289
41,27.17,0.223329,1.018136,0.0000
42,35.87,0.239007,0.984021,206.9000
43,27.17,0.228166,0.997982,0.0000
44,39.87,0.233831,0.995819,238.9217
45,27.22,0.227859,1.016571,0.0000
46,39.28,0.220889,1.043991,285.1766
47,27.09,0.233135,1.002196,0.0000
48,37.20,0.227982,1.015512,226.4633
49,27.32,0.221382,1.037935,0.0000
50,36.28,0.231765,0.998507,226.5595
51,27.22,0.224436,1.040536,0.0000
52,36.05,0.208566,1.097858,282.6751
53,27.45,0.212355,1.098620,0.0000
54,38.12,0.227422,1.033150,280.7276
55,27.17,0.220825,1.052860,0.0000
56,36.25,0.229054,1.018851,263.7541
57,27.24,0.213306,1.082619,0.0000
58,36.50,0.232945,1.036354,265.9434
59,27.42,0.220219,1.052195,0.0000
60,36.23,0.219897,1.057659,321.4898
61,27.28,0.216665,1.093773,0.0000
62,36.41,0.209088,1.101353,270.0839
63,27.11,0.217172,1.089264,0.0000
64,36.26,0.210551,1.094349,350.1097
65,27.74,0.211985,1.097773,0.0000
66,36.22,0.221630,1.069637,216.3358
67,27.10,0.215403,1.095410,0.0000
68,36.33,0.219179,1.069093,274.5243
69,27.19,0.209317,1.117360,0.0000
70,36.08,0.211705,1.114355,258.6511
71,27.25,0.212569,1.100244,0.0000
72,36.62,0.218863,1.072945,279.1179
73,27.02,0.204819,1.113305,0.0000
