Epoch,Time(s),D_Loss,G_Loss,FID_Score
1,3.04,0.376349,2.331968,0.0000
2,13.63,0.333416,2.195502,409.1740
3,2.62,0.349897,1.647663,0.0000
4,14.15,0.382518,2.276863,383.0750
5,4.81,0.335652,2.134740,0.0000
6,13.84,0.453542,0.378009,399.9601
7,3.17,0.439584,1.988269,0.0000
8,13.52,0.327505,2.062441,388.2015
9,2.93,0.325385,1.027799,0.0000
10,14.22,0.387209,1.998247,397.3696
11,3.29,0.328229,2.075007,0.0000
12,14.32,0.327045,1.502221,436.4069
13,3.23,0.345077,2.097829,0.0000
14,14.28,0.326540,2.071369,413.4449
15,2.70,0.327266,1.762367,0.0000
16,12.70,0.327470,2.089786,425.5453
17,2.89,0.326167,2.078554,0.0000
18,13.44,0.325597,2.000306,464.3637
19,5.14,0.325975,2.090656,0.0000
20,17.01,0.325682,2.079684,484.0596
21,3.58,0.326253,1.805333,0.0000
22,13.62,0.326139,2.103147,487.8508
23,2.80,0.325769,2.079509,0.0000
24,16.65,0.325947,1.886196,457.5462
25,3.13,0.325805,2.095247,0.0000
26,13.21,0.325518,2.085389,454.5918
27,2.48,0.325278,1.954040,0.0000
28,16.11,0.325658,2.085467,457.3370
29,3.06,0.325484,2.080526,0.0000
30,16.48,0.326754,1.963177,445.1766
31,3.06,0.325432,2.086826,0.0000
32,16.36,0.325372,2.082364,433.0051
33,2.46,0.325201,1.979366,0.0000
34,16.44,0.325449,2.092375,463.1146
35,4.16,0.325497,2.087904,0.0000
36,14.49,0.325563,2.052341,458.3723
37,2.72,0.325390,2.087965,0.0000
38,11.60,0.325353,2.077654,468.6566
39,2.36,0.325461,1.960304,0.0000
40,14.87,0.325361,2.085548,446.8474
41,2.70,0.325248,2.076325,0.0000
42,11.35,0.325108,2.031939,458.9256
43,2.72,0.325290,2.087257,0.0000
44,15.08,0.325242,2.080196,481.7861
45,2.44,0.325295,2.047458,0.0000
46,11.99,0.325238,2.082381,462.9300
47,2.76,0.325212,2.082995,0.0000
48,14.45,0.325294,2.058980,465.5988
49,3.45,0.325244,2.088454,0.0000
50,14.91,0.325206,2.082488,466.8810
51,2.43,0.325170,2.016611,0.0000
52,15.97,0.325260,2.085594,485.6526
53,2.71,0.325213,2.085265,0.0000
54,11.25,0.325276,2.031226,477.5043
55,2.74,0.325226,2.085573,0.0000
56,14.68,0.325259,2.083372,477.6538
57,2.37,0.325202,2.055961,0.0000
58,12.75,0.325196,2.086213,473.6088
59,3.20,0.325245,2.087969,0.0000
60,12.53,0.325235,2.033274,451.9984
61,2.90,0.325450,2.084157,0.0000
62,14.23,0.325260,2.083131,469.7599
63,2.37,0.325195,2.088162,0.0000
64,15.17,0.325219,2.084928,464.8016
65,2.71,0.325176,2.085430,0.0000
66,11.20,0.325162,2.082632,446.5827
67,2.74,0.325206,2.085503,0.0000
68,15.76,0.325175,2.082070,437.4395
69,2.33,0.325130,2.060146,0.0000
70,15.44,0.325208,2.084193,449.3758
71,2.96,0.325169,2.086105,0.0000
72,14.26,0.325135,2.088660,446.7274
73,2.89,0.325176,2.085297,0.0000
74,13.21,0.325239,2.084217,441.5742
75,2.49,0.325214,2.070644,0.0000
76,16.70,0.325176,2.085477,439.9264
77,2.94,0.325256,2.085367,0.0000
78,13.29,0.325116,1.983993,453.0714
79,2.74,0.325233,2.086590,0.0000
80,13.22,0.325201,2.084521,460.3079
81,2.36,0.325239,2.080456,0.0000
82,12.32,0.325185,2.083916,437.2260
83,3.00,0.325221,2.083703,0.0000
84,13.12,0.325153,2.089735,427.8093
85,2.74,0.325370,2.085217,0.0000
86,11.72,0.325281,2.085991,440.0831
87,2.39,0.325151,2.081824,0.0000
88,15.21,0.325257,2.085372,434.8479
89,2.76,0.325206,2.089668,0.0000
90,11.73,0.325186,2.046164,439.7407
91,2.80,0.325374,2.086104,0.0000
92,11.99,0.325170,2.083536,424.2500
93,2.32,0.325224,2.109488,0.0000
94,12.13,0.325191,2.081868,422.2376
95,2.74,0.325154,2.081299,0.0000
96,11.38,0.325173,2.027710,439.8537
97,2.73,0.325256,2.090075,0.0000
98,12.90,0.325166,2.081265,437.9923
99,2.58,0.325120,2.034239,0.0000
100,16.87,0.325267,2.087082,432.1105
