Epoch,Time(s),D_Loss,G_Loss,FID_Score
1,1.64,2.260379,0.920222,0.0000
2,12.26,1.931814,1.500543,431.7587
3,1.35,1.810199,1.756070,0.0000
4,14.95,1.800336,1.370924,445.4994
5,1.28,1.716866,1.184177,0.0000
6,15.31,1.656825,0.870761,369.2838
7,1.32,1.643644,0.917189,0.0000
8,11.68,1.522435,1.032365,324.9901
9,1.32,1.596839,0.778700,0.0000
10,15.24,1.677904,0.732065,392.4905
11,0.90,0.566141,0.771075,0.0000
12,14.17,0.617097,0.601899,308.6601
13,0.99,0.619508,0.652254,0.0000
14,12.08,0.582077,0.754117,282.4316
15,1.06,0.565006,0.751214,0.0000
16,10.74,0.570861,0.663671,251.4420
17,1.04,0.591841,0.582566,0.0000
18,14.53,0.571350,0.641367,272.1896
19,0.96,0.563715,0.663706,0.0000
20,11.40,0.570886,0.639122,291.1871
21,0.95,0.541081,0.693208,0.0000
22,14.76,0.530524,0.664743,262.1847
23,0.92,0.531257,0.626026,0.0000
24,14.16,0.532268,0.600484,245.3549
25,0.86,0.537297,0.596257,0.0000
26,15.37,0.528465,0.609308,242.5164
27,0.91,0.515495,0.638882,0.0000
28,13.85,0.504267,0.639560,233.2346
29,0.87,0.500403,0.625494,0.0000
30,14.86,0.496841,0.608148,226.6485
31,0.89,0.494906,0.607767,0.0000
32,15.10,0.492337,0.617018,239.5656
33,0.86,0.483247,0.640484,0.0000
34,14.22,0.471870,0.668681,238.0207
35,0.99,0.469203,0.662163,0.0000
36,14.86,0.463971,0.653896,221.6058
37,0.87,0.466584,0.649952,0.0000
38,14.24,0.460731,0.645675,217.1119
39,0.86,0.454783,0.647079,0.0000
40,13.38,0.453844,0.649134,223.9237
41,0.89,0.446469,0.659985,0.0000
42,13.76,0.439969,0.655202,221.8011
43,0.87,0.436478,0.665147,0.0000
44,14.29,0.434410,0.659521,222.0410
45,0.87,0.430320,0.657351,0.0000
46,10.12,0.426811,0.658813,199.6827
47,0.95,0.423141,0.661754,0.0000
48,12.36,0.418169,0.659947,219.0302
49,1.05,0.409595,0.666316,0.0000
50,11.33,0.406823,0.664417,221.1822
51,0.99,0.402403,0.662697,0.0000
52,13.52,0.400156,0.661822,205.6565
53,1.12,0.395634,0.664042,0.0000
54,14.77,0.393833,0.662353,216.2580
55,0.96,0.392513,0.663562,0.0000
56,14.05,0.391289,0.665156,204.3295
57,1.01,0.386302,0.663120,0.0000
58,17.11,0.386663,0.663762,206.8603
59,0.89,0.374302,0.666986,0.0000
60,14.55,0.375008,0.666283,197.8835
61,0.89,0.374635,0.662599,0.0000
62,13.73,0.372584,0.663255,197.1357
63,0.94,0.370940,0.662096,0.0000
64,14.19,0.366122,0.663287,191.2410
65,0.90,0.365193,0.661183,0.0000
66,14.05,0.365249,0.664232,181.4683
67,0.94,0.362199,0.664295,0.0000
68,14.30,0.356948,0.665430,187.5695
69,0.99,0.357777,0.666596,0.0000
70,14.82,0.359156,0.660799,185.1676
71,0.92,0.357529,0.660765,0.0000
72,14.03,0.353240,0.665633,188.9735
73,0.93,0.355083,0.670253,0.0000
74,12.20,0.347362,0.663461,170.3216
75,0.89,0.348736,0.666678,0.0000
76,14.16,0.349007,0.666363,176.5366
77,0.88,0.344827,0.664836,0.0000
78,13.75,0.343554,0.665430,178.5429
79,0.96,0.343393,0.665018,0.0000
80,14.07,0.343006,0.666760,178.2009
81,0.89,0.340924,0.663061,0.0000
82,13.67,0.336761,0.663843,184.7926
83,0.93,0.339951,0.661340,0.0000
84,14.19,0.337367,0.662823,176.9878
85,0.92,0.333251,0.665504,0.0000
86,13.61,0.336549,0.662764,169.3603
87,0.87,0.334649,0.662977,0.0000
88,14.65,0.328547,0.662692,179.3667
89,0.89,0.334970,0.665993,0.0000
90,14.15,0.332040,0.665460,164.2839
91,0.92,0.332925,0.665576,0.0000
92,11.22,0.330868,0.667165,158.4287
93,0.97,0.323998,0.661991,0.0000
94,14.98,0.329644,0.669420,175.9784
95,0.91,0.327549,0.666487,0.0000
96,14.00,0.326502,0.663914,162.7652
97,1.01,0.327408,0.668782,0.0000
98,10.32,0.321347,0.659073,177.0736
99,0.90,0.328572,0.666037,0.0000
100,15.26,0.322016,0.662711,172.6832
101,0.98,0.320817,0.666348,0.0000
102,11.05,0.322077,0.667308,198.5219
103,0.94,0.319539,0.665896,0.0000
104,14.89,0.320245,0.668212,152.3712
105,0.86,0.318892,0.666660,0.0000
106,13.55,0.318114,0.661518,187.5616
107,0.93,0.316960,0.676150,0.0000
108,14.28,0.314043,0.668549,170.7880
109,0.91,0.311372,0.662581,0.0000
