Epoch,Time(s),D_Loss,G_Loss,FID_Score
1,2.30,0.343217,2.137417,0.0000
2,12.59,0.336926,2.260074,396.4155
3,2.05,0.331577,0.612319,0.0000
4,16.46,0.382754,2.212358,332.5704
5,2.36,0.340544,2.161172,0.0000
6,14.85,0.344709,0.696294,337.6371
7,2.41,0.410165,2.066207,0.0000
8,15.81,0.338833,2.141226,358.2674
9,1.88,0.331256,0.854641,0.0000
10,15.98,0.391039,2.178513,336.2652
11,2.42,0.331997,2.129127,0.0000
12,12.75,0.335409,1.297927,345.8259
13,2.43,0.366114,2.180859,0.0000
14,12.10,0.333842,2.114694,303.4907
15,1.94,0.362843,0.774428,0.0000
16,13.82,0.373744,2.152148,329.6765
17,2.68,0.329528,2.142797,0.0000
18,16.19,0.327623,1.015994,270.7285
19,3.96,0.365796,2.168802,0.0000
20,11.90,0.330099,2.113541,328.7135
21,2.00,0.329496,0.964884,0.0000
22,13.26,0.359066,2.223482,305.9557
23,2.44,0.328664,2.114978,0.0000
24,15.57,0.327629,1.553351,267.0763
25,4.00,0.333541,2.115165,0.0000
26,12.90,0.327466,2.115552,285.3707
27,1.88,0.327618,1.230230,0.0000
28,14.59,0.348699,2.249310,290.9474
29,2.27,0.328322,2.124040,0.0000
30,15.40,0.327074,1.304054,329.9123
31,2.18,0.352914,2.238501,0.0000
32,15.15,0.329744,2.120444,287.0640
33,3.79,0.327956,1.372961,0.0000
34,15.80,0.332324,2.147312,300.9016
35,2.49,0.326867,2.093053,0.0000
36,14.53,0.327772,1.506654,278.2126
37,2.27,0.336368,2.175613,0.0000
38,15.35,0.326385,2.075210,288.1416
39,1.92,0.326995,1.656409,0.0000
40,14.89,0.331769,2.155369,307.2753
41,2.16,0.327799,2.090972,0.0000
42,12.21,0.325894,1.714830,297.4226
43,2.23,0.328489,2.109024,0.0000
44,15.72,0.326858,2.091974,276.5269
45,2.57,0.325680,1.627574,0.0000
46,15.34,0.329672,2.121644,311.8793
47,2.11,0.326330,2.095119,0.0000
48,15.64,0.328166,1.755069,304.5668
49,2.14,0.327971,2.109087,0.0000
50,17.00,0.326403,2.091830,301.9480
51,1.85,0.327199,1.749265,0.0000
52,14.80,0.330053,2.166515,338.4242
53,2.05,0.326170,2.103091,0.0000
54,13.78,0.325384,1.209838,346.7172
55,2.04,0.352402,2.463166,0.0000
56,14.05,0.326465,2.115095,322.1432
57,1.86,0.327113,0.718304,0.0000
58,11.21,0.376343,2.209365,281.7280
59,2.11,0.328800,2.149981,0.0000
60,13.60,0.329814,1.259838,309.4073
61,3.97,0.368082,2.417028,0.0000
62,14.66,0.327865,2.146256,336.5211
63,1.80,0.325857,1.006082,0.0000
64,14.67,0.372733,2.291564,327.0137
65,2.05,0.331650,2.145913,0.0000
66,13.85,0.331978,1.215595,307.7437
67,2.06,0.364693,2.220413,0.0000
68,14.32,0.328831,2.108166,272.8100
69,1.76,0.328885,1.461940,0.0000
70,14.31,0.332828,2.142805,331.4224
71,2.08,0.326540,2.073560,0.0000
72,14.01,0.326435,1.210161,312.6977
73,2.17,0.345758,2.256794,0.0000
74,11.68,0.327784,2.104622,347.1239
75,1.91,0.328076,1.896425,0.0000
76,12.68,0.327786,2.087339,303.7060
77,2.07,0.326135,2.077284,0.0000
78,14.73,0.325658,1.798081,330.5174
79,3.78,0.327476,2.094564,0.0000
80,14.87,0.326152,2.088178,311.9419
81,1.77,0.325975,1.282345,0.0000
82,13.99,0.343197,2.228561,317.8579
83,4.00,0.326100,2.104631,0.0000
84,13.62,0.326472,0.962933,331.3954
85,2.08,0.348971,2.254763,0.0000
86,14.65,0.326672,2.112959,417.2122
87,1.83,0.331276,1.347837,0.0000
88,14.41,0.345628,2.189866,324.4791
89,2.06,0.328476,2.114323,0.0000
90,10.82,0.326596,1.621139,317.5771
91,2.08,0.329594,2.115011,0.0000
92,14.46,0.326097,2.083905,336.2301
93,1.81,0.325754,1.852972,0.0000
94,14.46,0.326632,2.095628,345.0522
95,2.09,0.325931,2.084257,0.0000
96,14.33,0.327697,1.710955,357.0564
97,2.05,0.326649,2.088993,0.0000
98,14.37,0.325820,2.090105,356.5583
99,1.79,0.325299,1.624389,0.0000
100,14.62,0.329454,2.141216,379.8259
