Epoch,Time(s),D_Loss,G_Loss,FID_Score
1,2.83,0.563648,0.772670,0.0000
2,11.49,0.623294,0.651922,363.4728
3,2.02,0.608301,0.448395,0.0000
4,11.66,0.672562,0.718628,341.4000
5,2.03,0.654959,0.634269,0.0000
6,15.39,0.636603,0.460647,290.8119
7,2.40,0.655099,0.708532,0.0000
8,12.58,0.648440,0.688142,298.1932
9,1.80,0.740177,0.499555,0.0000
10,15.00,0.632151,0.844523,299.8883
11,2.06,0.637239,0.702686,0.0000
12,17.26,0.609468,0.483476,275.7558
13,2.08,0.632367,0.760033,0.0000
14,16.02,0.619213,0.748934,274.6268
15,1.81,0.564475,0.424947,0.0000
16,14.51,0.657835,0.879730,304.4354
17,2.04,0.617611,0.745226,0.0000
18,14.95,0.591513,0.550504,278.2371
19,2.00,0.641303,0.790126,0.0000
20,15.69,0.611966,0.765194,310.0321
21,2.70,0.615991,0.587573,0.0000
22,12.65,0.600640,0.848866,297.7403
23,2.26,0.588967,0.811158,0.0000
24,15.84,0.585475,0.524720,289.2415
25,2.15,0.597111,0.902034,0.0000
26,16.99,0.568431,0.852701,294.1086
27,1.86,0.545425,0.540808,0.0000
28,14.56,0.569058,1.046821,285.7790
29,2.03,0.551569,0.917971,0.0000
30,15.77,0.498254,0.544271,292.7742
31,2.26,0.604797,1.019522,0.0000
32,14.72,0.552575,0.898497,297.1882
33,1.75,0.523103,0.643046,0.0000
34,14.58,0.538766,1.060459,290.5257
35,2.04,0.538341,0.967973,0.0000
36,14.76,0.479965,0.708652,299.2510
37,2.03,0.550660,1.082795,0.0000
38,15.10,0.514596,0.985150,298.7922
39,1.77,0.492494,0.519040,0.0000
40,14.77,0.498316,1.164355,292.4520
41,2.07,0.493489,1.061819,0.0000
42,15.00,0.459680,0.598024,293.8982
43,2.08,0.488855,1.298936,0.0000
44,12.64,0.480396,1.104791,283.3226
45,1.87,0.454989,0.649570,0.0000
46,14.72,0.469813,1.293955,295.4295
47,2.44,0.474812,1.149029,0.0000
48,13.23,0.570133,0.751298,328.2898
49,2.24,0.455786,1.420864,0.0000
50,12.27,0.460061,1.219682,292.1078
51,1.92,0.417217,0.569230,0.0000
52,13.57,0.459441,1.384448,291.4671
53,2.19,0.443536,1.257997,0.0000
54,15.79,0.447429,0.719436,319.6470
55,2.07,0.422348,1.584975,0.0000
56,16.18,0.439096,1.333871,290.5484
57,1.94,0.423937,0.684310,0.0000
58,15.45,0.422700,1.551513,302.7752
59,2.09,0.426907,1.384449,0.0000
60,16.19,0.444339,0.754074,336.4916
61,2.16,0.415062,1.559319,0.0000
62,16.75,0.425702,1.396420,296.3395
63,2.02,0.376462,0.885327,0.0000
64,16.43,0.408042,1.729423,304.8249
65,2.29,0.418661,1.438244,0.0000
66,16.51,0.437451,0.901426,305.7021
67,2.57,0.401197,1.728269,0.0000
68,15.98,0.414692,1.495444,296.3881
69,1.81,0.407241,0.833051,0.0000
70,16.38,0.426818,1.668996,302.1510
71,2.11,0.419870,1.483849,0.0000
72,15.37,0.400294,0.831527,310.3591
73,2.05,0.404455,1.751322,0.0000
74,15.79,0.415782,1.539842,296.5106
75,2.03,0.444226,0.807439,0.0000
76,16.32,0.398798,1.683316,302.0665
77,2.14,0.403638,1.546577,0.0000
78,11.26,0.400375,0.722888,320.8998
79,2.12,0.400682,1.748140,0.0000
80,16.10,0.401152,1.583154,307.3320
81,2.05,0.408248,0.733015,0.0000
82,14.79,0.393975,1.753440,297.0021
83,2.12,0.404479,1.598734,0.0000
84,14.63,0.439867,0.850462,316.4258
85,2.45,0.390176,1.781915,0.0000
86,14.02,0.401971,1.639918,290.0928
87,1.85,0.382496,0.965544,0.0000
88,15.08,0.393899,1.766239,309.3879
89,2.10,0.395318,1.612248,0.0000
90,16.15,0.397504,0.635159,309.1028
91,2.15,0.408767,1.681689,0.0000
92,14.99,0.397222,1.628106,299.8175
93,1.83,0.394882,0.751219,0.0000
94,14.34,0.394447,1.753233,317.9962
95,2.15,0.390779,1.661002,0.0000
96,15.54,0.391830,0.761397,335.8478
97,2.05,0.402835,1.781331,0.0000
98,12.09,0.389851,1.650875,303.2319
99,2.01,0.387502,1.053641,0.0000
100,15.28,0.384123,1.833423,292.2245
