Epoch,Time(s),D_Loss,G_Loss,FID_Score
1,2.82,5.264101,0.560085,0.0000
2,12.73,4.642878,0.859338,518.0356
3,1.63,4.456237,0.823284,0.0000
4,16.53,4.525640,0.729868,463.1566
5,1.53,4.362242,0.765675,0.0000
6,15.25,4.093177,0.884674,487.8307
7,1.68,3.741555,1.000810,0.0000
8,14.44,3.408796,0.904279,422.4494
9,2.23,2.909197,0.811868,0.0000
10,14.21,2.651665,0.747097,385.0221
11,1.33,1.379952,0.582346,0.0000
12,15.85,1.306065,0.531220,361.5755
13,1.36,1.338386,0.511708,0.0000
14,11.50,1.247839,0.507876,386.5652
15,1.27,1.147187,0.507536,0.0000
16,11.54,1.092471,0.504179,381.7736
17,1.21,1.009401,0.522966,0.0000
18,15.07,0.939940,0.522551,398.0688
19,1.31,0.848434,0.543372,0.0000
20,10.95,0.757973,0.578638,386.5357
21,1.19,0.685723,0.597568,0.0000
22,14.72,0.641530,0.620539,388.1740
23,1.21,0.638438,0.663912,0.0000
24,12.88,0.560344,0.673816,363.2019
25,1.22,0.541769,0.700918,0.0000
26,14.72,0.519522,0.703315,386.8247
27,1.21,0.499907,0.709842,0.0000
28,15.17,0.533073,0.745419,381.9083
29,1.26,0.503630,0.732297,0.0000
30,14.38,0.479636,0.721804,380.1671
31,1.13,0.470730,0.736254,0.0000
32,11.60,0.463476,0.742376,357.4488
33,1.16,0.486036,0.753229,0.0000
34,12.96,0.486282,0.724259,303.9993
35,1.18,0.491896,0.720141,0.0000
36,14.37,0.483651,0.732066,298.4996
37,1.17,0.597086,0.772762,0.0000
38,14.36,0.456738,0.739369,284.4139
39,1.15,0.460640,0.720396,0.0000
40,14.63,0.469620,0.729334,301.1806
41,1.17,0.479455,0.692099,0.0000
42,14.32,0.549026,0.604561,312.9398
43,1.31,0.517416,0.602885,0.0000
44,12.33,0.500335,0.643188,331.8303
45,1.40,0.468088,0.667529,0.0000
46,11.47,0.433991,0.715671,335.7032
47,0.99,0.415814,0.732966,0.0000
48,15.38,0.427890,0.730203,314.9553
49,1.17,0.413249,0.715595,0.0000
50,14.50,0.455349,0.641052,354.6238
51,1.16,0.464805,0.668785,0.0000
52,14.52,0.439568,0.661480,324.2951
53,1.19,0.433982,0.654666,0.0000
54,14.12,0.448152,0.633925,353.3447
55,1.22,0.445913,0.647260,0.0000
56,14.88,0.447941,0.665042,341.5882
57,1.15,0.424548,0.675541,0.0000
58,13.78,0.428355,0.695653,322.6271
59,1.15,0.434350,0.708019,0.0000
60,14.60,0.430356,0.708123,326.0602
61,1.13,0.419948,0.699523,0.0000
62,14.62,0.445589,0.716177,300.0274
63,1.35,0.425351,0.696756,0.0000
64,15.32,0.427728,0.701295,323.4217
65,1.29,0.442863,0.709923,0.0000
66,15.26,0.681802,0.913152,337.1743
67,1.36,0.437974,0.702368,0.0000
68,11.86,0.432722,0.721092,336.0681
69,1.22,0.422674,0.703471,0.0000
70,15.28,0.425604,0.707107,301.6458
71,1.24,0.426847,0.699394,0.0000
72,11.73,0.420624,0.692335,275.7226
73,1.20,0.424489,0.712693,0.0000
74,14.86,0.416995,0.687517,305.4731
75,1.22,0.421763,0.687288,0.0000
76,14.27,0.428708,0.685265,278.7916
77,1.19,0.403814,0.701039,0.0000
78,14.32,0.406670,0.696798,280.9976
79,1.19,0.401808,0.705691,0.0000
80,11.70,0.403401,0.702071,302.3747
81,1.25,0.410425,0.699661,0.0000
82,16.30,0.417306,0.690429,253.3211
83,1.25,0.415652,0.688704,0.0000
84,12.23,0.660617,0.840241,279.4628
85,1.18,0.416597,0.733461,0.0000
86,14.41,0.417313,0.704347,280.0106
87,1.15,0.415493,0.710409,0.0000
88,14.88,0.407868,0.692033,303.1818
89,1.14,0.411748,0.685408,0.0000
90,15.61,0.403752,0.692881,291.9713
91,1.21,0.407100,0.690044,0.0000
92,14.93,0.403991,0.686378,325.6119
93,1.24,0.393120,0.687439,0.0000
94,11.46,0.395329,0.691970,338.7717
95,1.52,0.396311,0.694184,0.0000
96,12.61,0.392187,0.677215,282.5033
97,1.32,0.409281,0.699657,0.0000
98,15.42,0.400041,0.702629,333.5748
99,1.36,0.392910,0.694403,0.0000
100,11.33,0.403385,0.696603,297.5256
101,1.16,0.389241,0.695981,0.0000
102,14.82,0.396040,0.676836,301.5895
103,1.28,0.416546,0.675283,0.0000
104,14.75,9.632705,36.217369,312.3712
105,1.24,27.500000,100.000000,0.0000
106,14.79,27.500000,100.000000,310.2030
107,1.23,27.500000,100.000000,0.0000
108,14.89,27.500000,100.000000,325.5127
109,1.15,27.500000,100.000000,0.0000
110,15.46,27.500000,100.000000,302.0178
111,1.26,27.500000,100.000000,0.0000
112,13.16,27.500000,100.000000,309.1310
113,1.14,27.500000,100.000000,0.0000
114,14.76,27.500000,100.000000,303.3891
115,1.24,27.500000,100.000000,0.0000
116,14.53,27.500000,100.000000,318.4775
117,1.14,27.500000,100.000000,0.0000
118,13.95,27.500000,100.000000,319.2204
119,1.17,27.500000,100.000000,0.0000
120,14.65,27.500000,100.000000,315.2143
